COMID,COMID_WY,WaYr,ppt_Jan.wy,ppt_Feb.wy,ppt_Mar.wy,ppt_Apr.wy,ppt_May.wy,ppt_Jun.wy,ppt_Jul.wy,ppt_Aug.wy,ppt_Sep.wy,ppt_Oct.wy,ppt_Nov.wy,ppt_Dec.wy,ppt_Jan.pwy,ppt_Feb.pwy,ppt_Mar.pwy,ppt_Apr.pwy,ppt_May.pwy,ppt_Jun.pwy,ppt_Jul.pwy,ppt_Aug.pwy,ppt_Sep.pwy,tav_Jan.wy,tav_Feb.wy,tav_Mar.wy,tav_Apr.wy,tav_May.wy,tav_Jun.wy,tav_Jul.wy,tav_Aug.wy,tav_Sep.wy,tav_Oct.wy,tav_Nov.wy,tav_Dec.wy,tav_Jan.pwy,tav_Feb.pwy,tav_Mar.pwy,tav_Apr.pwy,tav_May.pwy,tav_Jun.pwy,tav_Jul.pwy,tav_Aug.pwy,tav_Sep.pwy,run_Jan.wy,run_Feb.wy,run_Mar.wy,run_Apr.wy,run_May.wy,run_Jun.wy,run_Jul.wy,run_Aug.wy,run_Sep.wy,run_Oct.wy,run_Nov.wy,run_Dec.wy,run_Jan.pwy,run_Feb.pwy,run_Mar.pwy,run_Apr.pwy,run_May.pwy,run_Jun.pwy,run_Jul.pwy,run_Aug.pwy,run_Sep.pwy,ppt_ann.wy,ppt_fall.wy,ppt_wint.wy,ppt_sprg.wy,ppt_summ.wy,ppt_ann.pwy,ppt_wint.pwy,ppt_sprg.pwy,ppt_summ.pwy,ppt_sum1,ppt_sum2,ppt_sum3,ppt_sum4,run_ann.wy,run_fall.wy,run_wint.wy,run_sprg.wy,run_summ.wy,run_ann.pwy,run_wint.pwy,run_sprg.pwy,run_summ.pwy,run_sum1,run_sum2,run_sum3,run_sum4,tav_ann.wy,tav_fall.wy,tav_wint.wy,tav_sprg.wy,tav_summ.wy,tav_ann.pwy,tav_wint.pwy,tav_sprg.pwy,tav_summ.pwy,tav_sum1,tav_sum2,tav_sum3,tav_sum4,DRAIN_SQKM,SLOPE_PCT_30M,ELEV_MEAN_M_BASIN_30M,ELEV_MIN_M_BASIN_30M,ELEV_MAX_M_BASIN_30M,ElvRng,ECO3,HLR1,HLR2,HLR3,HLR4,HLR5,HLR6,HLR7,HLR8,HLR9,HLR10,HLR11,HLR12,HLR13,HLR14,HLR15,HLR16,HLR17,HLR18,HLR19,HLR20,PPTAVG_CAT,PPTAVG_BASIN,T_AVG_CAT,T_AVG_BASIN,T_MIN_BASIN,T_MAX_BASIN,CAT_AnnMinPrecip,AnnMinPrecip,CAT_AnnMaxPrecip,AnnMaxPrecip,WD_JAN_BASIN,WD_FEB_BASIN,WD_MAR_BASIN,WD_APR_BASIN,WD_MAY_BASIN,WD_JUN_BASIN,WD_JUL_BASIN,WD_AUG_BASIN,WD_SEP_BASIN,WD_OCT_BASIN,WD_NOV_BASIN,WD_DEC_BASIN,ANN_CONS_WETDAYS,WD_BASIN,WDMIN_BASIN,WDMAX_BASIN,ET_CAT,ET,PET_CAT,PET,RH_CAT,RH_BASIN,SNOW_PCT_PRECIP,FST32F_BASIN,LST32F_BASIN,CONTACT,BFI_AVE,TOPWET,PERDUN,RFACT,PERHOR,DEPTH_WATTAB,SILTAVE,CLAYAVE,SANDAVE,HGA,HGAC,HGAD,HGB,HGBC,HGBD,HGC,HGCD,HGD,HGVAR,KFACT_UP,NO10AVE,NO200AVE,NO4AVE,OMAVE,PERMAVE,ROCKDEPAVE,BDAVE,AWCAVE,WTDEPAVE,gneiss,granitic,ultramafic,quarternary,sedimentary,volcanic,water,anorthositic,intermediate,SGEO1,SGEO2,SGEO3,SGEO4,SGEO5,SGEO6,SGEO7,SGEO8,SGEO9,SGEO10,SGEO11,SGEO12,SGEO13,SGEO14,SGEO15,SGEO16,SGEO17,SGEO18,SGEO19,SGEO20,SGEO21,SGEO22,SGEO23,SGEO24,SGEO25,SGEO26,SGEO27,SGEO28,SGEO29,SGEO30,SGEO31,SGEO32,SGEO33,SGEO34,SGEO35,SGEO36,SGEO37,SGEO38,SGEO39,SGEO40,SGEO41,SGEO42,SGEO43,SGEO44,SGEO45,KO_pct,CaO_pct,FeO_pct,MgO_pct,P_pct,S_pct,SiO_pct,UCS,Lperm,RECHARGE,pmpe,BDMAX,PMAX_WS,TMIN_WS,PERMH_WS,PMIN_WS,KRUG_RUNOFF
3917230,3917230_1950,1950,109.34,15.01,32.45,8.2,9.79,30.54,0.88,7.72,18.37,17.7,16.13,15.95,7.68,26.12,28.54,3.47,32.09,13.65,0.92,0,10.69,-2.4,2.47,5.18,8.68,13.35,16.72,22.29,21.68,16.95,8.6,7.11,0.89,-5.04,0.91,5.47,11.41,14.18,17.38,21.31,19.74,17.42,0.79,0.44,1.35,0.41,0.48,1.52,0.04,0.38,0.91,0.88,0.8,0.35,0,0.58,1.23,0.17,1.6,0.68,0.04,0,0.53,282.08,49.78,156.8,48.53,26.97,123.16,62.34,49.21,11.61,405.24,293.69,331.29,344.42,8.35,2.03,2.58,2.41,1.33,4.83,1.81,2.45,0.57,13.18,8.92,10.8,10.16,121.52,16.6,5.25,38.75,60.92,102.78,1.34,42.97,58.47,224.3,179.99,164.49,122.86,2.8152,1.45,796.83,779.34,832.59,53.25,9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,43.1,43.1,10.94,10.94,2.93,19.17,4,4,71.24,71.24,8,6,7,6,5,4,2,2,3,5.03,8,9,2.36,65.03,2,9,46.28,46.28,663.9,663.9,64.76,64.76,23.66,275.21,140.06,1176.92,70.92,15.03,0,11.514,1,-4.58,42.04,27.12,30.84,0,0,0,2.01,0,0,49.16,0,45.62,0,0.34,80.35,55.46,85.04,0.61,0.88,57.51,1.34,0.14,4.63,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.75,6.61,8.43,3.93,0.26,0.02,56.73,136.52,3.77,85.06,-232.9,1.39,66.48,-3.94,1.16,14.37,84
3917230,3917230_1951,1951,79.61,41.4,5.04,18.19,19.09,0.88,1.05,7.22,0.05,241.24,22.8,71.09,109.34,15.01,32.45,8.2,9.79,30.54,0.88,7.72,18.37,1.11,3.32,4.76,11.57,12.8,18.6,21.6,20.97,18.27,11,6.47,4.61,-2.4,2.47,5.18,8.68,13.35,16.72,22.29,21.68,16.95,49.57,35.81,17.41,9.51,5.25,2.19,1.12,0.9,0.27,40.03,15.72,35.33,0.79,0.44,1.35,0.41,0.48,1.52,0.04,0.38,0.91,507.66,335.13,126.05,38.16,8.32,232.3,156.8,48.53,26.97,739.96,534.63,556.19,664.46,213.11,91.08,102.79,16.95,2.29,6.32,2.58,2.41,1.33,219.43,214.44,215.52,215.69,135.08,22.08,9.19,42.97,60.84,104.92,5.25,38.75,60.92,240,196,173.83,140.33,2.8152,1.45,796.83,779.34,832.59,53.25,9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,43.1,43.1,10.94,10.94,2.93,19.17,4,4,71.24,71.24,8,6,7,6,5,4,2,2,3,5.03,8,9,2.36,65.03,2,9,46.28,46.28,663.9,663.9,64.76,64.76,23.66,275.21,140.06,1176.92,70.92,15.03,0,11.514,1,-4.58,42.04,27.12,30.84,0,0,0,2.01,0,0,49.16,0,45.62,0,0.34,80.35,55.46,85.04,0.61,0.88,57.51,1.34,0.14,4.63,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.75,6.61,8.43,3.93,0.26,0.02,56.73,136.52,3.77,85.06,-232.9,1.39,66.48,-3.94,1.16,14.37,84
3917230,3917230_1952,1952,65.1,34.69,18.33,3.76,25.97,42.46,6.03,7.61,5.72,65.93,51.19,132.86,79.61,41.4,5.04,18.19,19.09,0.88,1.05,7.22,0.05,-1.26,2.69,3.92,10.26,13.64,15.1,22.82,20.68,18.52,9.8,4.97,0.14,1.11,3.32,4.76,11.57,12.8,18.6,21.6,20.97,18.27,26.27,37.23,18.74,9.23,5.81,4.38,1.42,0.94,0.57,3.42,2.15,10.97,49.57,35.81,17.41,9.51,5.25,2.19,1.12,0.9,0.27,459.65,249.98,118.12,72.19,19.36,172.53,126.05,38.16,8.32,632.18,467.97,497.81,585.7,121.13,16.54,82.24,19.42,2.93,122.03,102.79,16.95,2.29,243.16,123.42,138.08,223.92,121.28,14.91,5.35,39,62.02,113,9.19,42.97,60.84,234.28,182.12,164.25,130.47,2.8152,1.45,796.83,779.34,832.59,53.25,9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,43.1,43.1,10.94,10.94,2.93,19.17,4,4,71.24,71.24,8,6,7,6,5,4,2,2,3,5.03,8,9,2.36,65.03,2,9,46.28,46.28,663.9,663.9,64.76,64.76,23.66,275.21,140.06,1176.92,70.92,15.03,0,11.514,1,-4.58,42.04,27.12,30.84,0,0,0,2.01,0,0,49.16,0,45.62,0,0.34,80.35,55.46,85.04,0.61,0.88,57.51,1.34,0.14,4.63,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.75,6.61,8.43,3.93,0.26,0.02,56.73,136.52,3.77,85.06,-232.9,1.39,66.48,-3.94,1.16,14.37,84
3917230,3917230_1953,1953,102.52,15.62,27.74,9.11,58.41,28,0.88,6.14,3.79,10.83,17.09,119.25,65.1,34.69,18.33,3.76,25.97,42.46,6.03,7.61,5.72,4,4.33,5.25,8.49,10.17,13.85,21.17,19.55,18.74,13.34,2.66,0.78,-1.26,2.69,3.92,10.26,13.64,15.1,22.82,20.68,18.52,27.7,12.58,7.3,3.52,4.45,2.17,0.42,0.49,0.28,0.68,0.58,2.63,26.27,37.23,18.74,9.23,5.81,4.38,1.42,0.94,0.57,399.38,147.17,145.88,95.52,10.81,209.67,118.12,72.19,19.36,609.05,418.74,471.57,517.5,62.8,3.89,47.58,10.14,1.19,104.59,82.24,19.42,2.93,167.39,65.73,82.22,145.04,122.33,16.78,13.58,32.51,59.46,106.37,5.35,39,62.02,228.7,184.35,161.33,127.68,2.8152,1.45,796.83,779.34,832.59,53.25,9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,43.1,43.1,10.94,10.94,2.93,19.17,4,4,71.24,71.24,8,6,7,6,5,4,2,2,3,5.03,8,9,2.36,65.03,2,9,46.28,46.28,663.9,663.9,64.76,64.76,23.66,275.21,140.06,1176.92,70.92,15.03,0,11.514,1,-4.58,42.04,27.12,30.84,0,0,0,2.01,0,0,49.16,0,45.62,0,0.34,80.35,55.46,85.04,0.61,0.88,57.51,1.34,0.14,4.63,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.75,6.61,8.43,3.93,0.26,0.02,56.73,136.52,3.77,85.06,-232.9,1.39,66.48,-3.94,1.16,14.37,84
3917230,3917230_1954,1954,133.75,23.54,16.09,14.88,1.94,43.71,0.88,10.41,5.76,38.22,61.88,33.87,102.52,15.62,27.74,9.11,58.41,28,0.88,6.14,3.79,2,5.12,4.88,10.27,14.74,15,20.88,18.42,14.75,9.79,7.17,2.62,4,4.33,5.25,8.49,10.17,13.85,21.17,19.55,18.74,21.31,10.8,5.56,3.19,1.32,2.79,0.35,0.67,0.36,1.96,3.11,1.03,27.7,12.58,7.3,3.52,4.45,2.17,0.42,0.49,0.28,384.93,133.97,173.38,60.53,17.05,252.21,145.88,95.52,10.81,637.14,395.74,480.45,530.81,52.45,6.1,37.67,7.3,1.38,58.91,47.58,10.14,1.19,111.36,53.64,62.59,100.03,125.64,19.58,12,40.01,54.05,105.55,13.58,32.51,59.46,231.19,185.1,158.15,139.22,2.8152,1.45,796.83,779.34,832.59,53.25,9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,43.1,43.1,10.94,10.94,2.93,19.17,4,4,71.24,71.24,8,6,7,6,5,4,2,2,3,5.03,8,9,2.36,65.03,2,9,46.28,46.28,663.9,663.9,64.76,64.76,23.66,275.21,140.06,1176.92,70.92,15.03,0,11.514,1,-4.58,42.04,27.12,30.84,0,0,0,2.01,0,0,49.16,0,45.62,0,0.34,80.35,55.46,85.04,0.61,0.88,57.51,1.34,0.14,4.63,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.75,6.61,8.43,3.93,0.26,0.02,56.73,136.52,3.77,85.06,-232.9,1.39,66.48,-3.94,1.16,14.37,84
3917230,3917230_1955,1955,20.17,3.85,6.96,7.2,3.9,4.89,1.93,4.14,14.51,12.68,18.19,29.24,133.75,23.54,16.09,14.88,1.94,43.71,0.88,10.41,5.76,-0.47,1.71,4.93,6.03,12.8,17.79,19.33,21.44,16.33,10.22,6.3,1.26,2,5.12,4.88,10.27,14.74,15,20.88,18.42,14.75,0.32,0.1,0.28,0.32,0.19,0.24,0.09,0.2,0.72,0.67,0.86,0.7,21.31,10.8,5.56,3.19,1.32,2.79,0.35,0.67,0.36,127.66,60.11,30.98,15.99,20.58,250.96,173.38,60.53,17.05,378.62,144.71,188.19,301.04,4.69,2.23,0.7,0.75,1.01,46.35,37.67,7.3,1.38,51.04,6.07,11.99,42.36,117.67,17.78,6.17,36.62,57.1,106.06,12,40.01,54.05,223.73,171.72,157.68,129.67,2.8152,1.45,796.83,779.34,832.59,53.25,9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,43.1,43.1,10.94,10.94,2.93,19.17,4,4,71.24,71.24,8,6,7,6,5,4,2,2,3,5.03,8,9,2.36,65.03,2,9,46.28,46.28,663.9,663.9,64.76,64.76,23.66,275.21,140.06,1176.92,70.92,15.03,0,11.514,1,-4.58,42.04,27.12,30.84,0,0,0,2.01,0,0,49.16,0,45.62,0,0.34,80.35,55.46,85.04,0.61,0.88,57.51,1.34,0.14,4.63,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.75,6.61,8.43,3.93,0.26,0.02,56.73,136.52,3.77,85.06,-232.9,1.39,66.48,-3.94,1.16,14.37,84
3917230,3917230_1956,1956,109.94,71.99,3.98,3.49,41.18,21.56,8.61,6.07,14.19,32.13,66.95,181.65,20.17,3.85,6.96,7.2,3.9,4.89,1.93,4.14,14.51,2.74,0.61,5.49,10.24,13.64,15.96,22.15,19.65,16.69,11.78,3.96,3.05,-0.47,1.71,4.93,6.03,12.8,17.79,19.33,21.44,16.33,65.87,60.02,29.43,14.8,9.37,4.73,2.25,1.21,1.16,1.6,2.42,40.69,0.32,0.1,0.28,0.32,0.19,0.24,0.09,0.2,0.72,561.74,280.73,185.91,66.23,28.87,67.55,30.98,15.99,20.58,629.29,582.32,577.73,592.72,233.55,44.71,155.32,28.9,4.62,2.46,0.7,0.75,1.01,236.01,234.56,234.3,234.25,125.96,18.79,8.84,39.84,58.49,99.89,6.17,36.62,57.1,225.85,183.06,162.58,132.13,2.8152,1.45,796.83,779.34,832.59,53.25,9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,43.1,43.1,10.94,10.94,2.93,19.17,4,4,71.24,71.24,8,6,7,6,5,4,2,2,3,5.03,8,9,2.36,65.03,2,9,46.28,46.28,663.9,663.9,64.76,64.76,23.66,275.21,140.06,1176.92,70.92,15.03,0,11.514,1,-4.58,42.04,27.12,30.84,0,0,0,2.01,0,0,49.16,0,45.62,0,0.34,80.35,55.46,85.04,0.61,0.88,57.51,1.34,0.14,4.63,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.75,6.61,8.43,3.93,0.26,0.02,56.73,136.52,3.77,85.06,-232.9,1.39,66.48,-3.94,1.16,14.37,84
3917230,3917230_1957,1957,50.48,50.13,70.59,8.13,22.34,2.8,0.93,1.93,37.48,99.14,2.21,22.74,109.94,71.99,3.98,3.49,41.18,21.56,8.61,6.07,14.19,-2.48,4.11,6.42,9.21,13.6,18.27,19.97,18.76,17.86,9.81,4.13,0.68,2.74,0.61,5.49,10.24,13.64,15.96,22.15,19.65,16.69,0.37,1.86,17.1,7.28,4.55,1.86,0.91,0.52,2.08,5.18,0.19,0.54,65.87,60.02,29.43,14.8,9.37,4.73,2.25,1.21,1.16,368.9,124.09,171.2,33.27,40.34,281.01,185.91,66.23,28.87,649.91,397.77,435.13,554.81,42.44,5.91,19.33,13.69,3.51,188.84,155.32,28.9,4.62,231.28,47.06,71.34,197.76,120.34,14.62,8.05,41.08,56.59,107.17,8.84,39.84,58.49,227.51,178.83,160.18,129.18,2.8152,1.45,796.83,779.34,832.59,53.25,9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,43.1,43.1,10.94,10.94,2.93,19.17,4,4,71.24,71.24,8,6,7,6,5,4,2,2,3,5.03,8,9,2.36,65.03,2,9,46.28,46.28,663.9,663.9,64.76,64.76,23.66,275.21,140.06,1176.92,70.92,15.03,0,11.514,1,-4.58,42.04,27.12,30.84,0,0,0,2.01,0,0,49.16,0,45.62,0,0.34,80.35,55.46,85.04,0.61,0.88,57.51,1.34,0.14,4.63,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.75,6.61,8.43,3.93,0.26,0.02,56.73,136.52,3.77,85.06,-232.9,1.39,66.48,-3.94,1.16,14.37,84
3917230,3917230_1958,1958,93.36,111.02,37.27,15,17.1,72.35,11.07,9.53,7.85,72.54,40.98,96.5,50.48,50.13,70.59,8.13,22.34,2.8,0.93,1.93,37.48,2.18,6.35,4.27,8.61,15.63,17.33,22.6,22.8,16.56,9.05,3.49,2.33,-2.48,4.11,6.42,9.21,13.6,18.27,19.97,18.76,17.86,40.11,65.48,35.47,17.78,9.37,7.87,2.68,1.54,0.92,3.73,1.45,3.93,0.37,1.86,17.1,7.28,4.55,1.86,0.91,0.52,2.08,584.57,210.02,241.65,104.45,28.45,244.81,171.2,33.27,40.34,829.38,624.91,617.84,755.77,190.33,9.11,141.06,35.02,5.14,36.53,19.33,13.69,3.51,226.86,193.84,204.02,209.66,131.2,14.87,12.8,41.57,61.96,105.72,8.05,41.08,56.59,236.92,187.79,172.28,139.25,2.8152,1.45,796.83,779.34,832.59,53.25,9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,43.1,43.1,10.94,10.94,2.93,19.17,4,4,71.24,71.24,8,6,7,6,5,4,2,2,3,5.03,8,9,2.36,65.03,2,9,46.28,46.28,663.9,663.9,64.76,64.76,23.66,275.21,140.06,1176.92,70.92,15.03,0,11.514,1,-4.58,42.04,27.12,30.84,0,0,0,2.01,0,0,49.16,0,45.62,0,0.34,80.35,55.46,85.04,0.61,0.88,57.51,1.34,0.14,4.63,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.75,6.61,8.43,3.93,0.26,0.02,56.73,136.52,3.77,85.06,-232.9,1.39,66.48,-3.94,1.16,14.37,84
3917230,3917230_1959,1959,73.19,31.2,8.94,1.35,19.62,12.87,3.17,11.24,8.13,13.6,12.94,16.69,93.36,111.02,37.27,15,17.1,72.35,11.07,9.53,7.85,3.3,2.93,6.64,10.89,11.74,17.87,22.92,20.53,15.24,13.05,5.62,4.6,2.18,6.35,4.27,8.61,15.63,17.33,22.6,22.8,16.56,2.46,1,0.44,0.06,0.98,0.64,0.15,0.56,0.4,0.94,0.7,0.72,40.11,65.48,35.47,17.78,9.37,7.87,2.68,1.54,0.92,212.94,43.23,113.33,33.84,22.54,374.55,241.65,104.45,28.45,587.49,241.39,317.39,454.59,9.05,2.36,3.9,1.68,1.11,181.22,141.06,35.02,5.14,190.27,14.19,44.07,150.11,135.33,23.27,12.87,40.5,58.69,116.33,12.8,41.57,61.96,251.66,197.29,176.9,148.13,2.8152,1.45,796.83,779.34,832.59,53.25,9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,43.1,43.1,10.94,10.94,2.93,19.17,4,4,71.24,71.24,8,6,7,6,5,4,2,2,3,5.03,8,9,2.36,65.03,2,9,46.28,46.28,663.9,663.9,64.76,64.76,23.66,275.21,140.06,1176.92,70.92,15.03,0,11.514,1,-4.58,42.04,27.12,30.84,0,0,0,2.01,0,0,49.16,0,45.62,0,0.34,80.35,55.46,85.04,0.61,0.88,57.51,1.34,0.14,4.63,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.75,6.61,8.43,3.93,0.26,0.02,56.73,136.52,3.77,85.06,-232.9,1.39,66.48,-3.94,1.16,14.37,84
