COMID,CAT_BFI,NODATA,ACC_BFI,ACC_NODATA,TOT_BFI,TOT_NODATA,filename
3917070,72,0,72,0,72,0,BFI_CONUS.zip
3917072,72,0,72,0,72,0,BFI_CONUS.zip
3917082,72,0,72,0,72,0,BFI_CONUS.zip
3917084,72,0,72,0,72,0,BFI_CONUS.zip
3917100,70,0,70,0,70,0,BFI_CONUS.zip
3917106,72.94,0,72.36,0,72.36,0,BFI_CONUS.zip
3917114,71.81,0,71.81,0,71.81,0,BFI_CONUS.zip
3917130,72.24,0,72.96,0,72.96,0,BFI_CONUS.zip
3917136,74,0,74,0,74,0,BFI_CONUS.zip
3917138,74,0,74,0,74,0,BFI_CONUS.zip
3917154,71.83,0,71.86,0,71.86,0,BFI_CONUS.zip
3917156,70.51,0,70.51,0,70.51,0,BFI_CONUS.zip
3917158,70,0,70,0,70,0,BFI_CONUS.zip
3917160,70,0,70,0,70,0,BFI_CONUS.zip
3917162,72.16,0,72.87,0,72.87,0,BFI_CONUS.zip
3917164,70.07,0,70.07,0,70.07,0,BFI_CONUS.zip
3917172,71.05,0,71.05,0,71.05,0,BFI_CONUS.zip
3917176,71.29,0,72.41,0,72.41,0,BFI_CONUS.zip
3917178,71.38,0,72.56,0,72.56,0,BFI_CONUS.zip
3917194,73.33,0,73.33,0,73.33,0,BFI_CONUS.zip
3917198,70,0,71.94,0,71.94,0,BFI_CONUS.zip
3917200,70,0,71.82,0,71.82,0,BFI_CONUS.zip
3917222,70,0,70,0,70,0,BFI_CONUS.zip
3917230,70.92,0,70.92,0,70.92,0,BFI_CONUS.zip
3917244,70.1,0,73.71,0,73.63,0,BFI_CONUS.zip
3917266,70,0,74.59,0,74.19,0,BFI_CONUS.zip
3917912,71.45,0,72.7,0,72.7,0,BFI_CONUS.zip
3917914,73.94,0,73.95,0,73.95,0,BFI_CONUS.zip
3917916,73.34,0,73.52,0,73.52,0,BFI_CONUS.zip
3917918,70.4,0,72.08,0,72.08,0,BFI_CONUS.zip
3917920,70,0,70,0,70,0,BFI_CONUS.zip
3917922,70,0,70,0,70,0,BFI_CONUS.zip
3917924,70,0,70,0,70,0,BFI_CONUS.zip
3917926,70,0,70,0,70,0,BFI_CONUS.zip
3917946,70.99,0,73.65,0,73.59,0,BFI_CONUS.zip
3917948,70,0,71.78,0,71.78,0,BFI_CONUS.zip
3917950,70,0,73.77,0,73.68,0,BFI_CONUS.zip
948010046,70,0,70,0,71.68,0,BFI_CONUS.zip
948010047,70,0,70,0,71.68,0,BFI_CONUS.zip
948010048,70,0,70,0,71.68,0,BFI_CONUS.zip
948010089,70,0,70,0,70,0,BFI_CONUS.zip
948010091,70,0,70,0,71.78,0,BFI_CONUS.zip
948010092,70,0,70,0,71.81,0,BFI_CONUS.zip
948010095,70,0,70,0,73.66,0,BFI_CONUS.zip
948010096,70,0,70,0,73.74,0,BFI_CONUS.zip
