COMID,PCT,ECO3,filename
3917070,100,4,ECOL3_DOM_CONUS.zip
3917072,100,4,ECOL3_DOM_CONUS.zip
3917082,100,4,ECOL3_DOM_CONUS.zip
3917084,100,4,ECOL3_DOM_CONUS.zip
3917106,100,4,ECOL3_DOM_CONUS.zip
3917114,100,4,ECOL3_DOM_CONUS.zip
3917130,100,4,ECOL3_DOM_CONUS.zip
3917136,100,4,ECOL3_DOM_CONUS.zip
3917138,100,4,ECOL3_DOM_CONUS.zip
3917154,100,4,ECOL3_DOM_CONUS.zip
3917156,86.58,4,ECOL3_DOM_CONUS.zip
3917158,100,9,ECOL3_DOM_CONUS.zip
3917160,100,9,ECOL3_DOM_CONUS.zip
3917162,100,4,ECOL3_DOM_CONUS.zip
3917164,98.9,9,ECOL3_DOM_CONUS.zip
3917172,50.66,9,ECOL3_DOM_CONUS.zip
3917176,95.12,4,ECOL3_DOM_CONUS.zip
3917178,99.15,4,ECOL3_DOM_CONUS.zip
3917194,100,4,ECOL3_DOM_CONUS.zip
3917198,79.64,4,ECOL3_DOM_CONUS.zip
3917200,74.47,4,ECOL3_DOM_CONUS.zip
3917230,100,9,ECOL3_DOM_CONUS.zip
3917244,56.82,4,ECOL3_DOM_CONUS.zip
3917912,100,4,ECOL3_DOM_CONUS.zip
3917914,100,4,ECOL3_DOM_CONUS.zip
3917916,100,4,ECOL3_DOM_CONUS.zip
3917918,85.3,4,ECOL3_DOM_CONUS.zip
3917920,100,9,ECOL3_DOM_CONUS.zip
3917946,55.9,4,ECOL3_DOM_CONUS.zip
3917948,73.07,4,ECOL3_DOM_CONUS.zip
3917950,57.56,4,ECOL3_DOM_CONUS.zip
