COMID,krug_runoff,source
3917230,10,krug_runoff_avg_ann_1951-1980.e00
3917164,10,krug_runoff_avg_ann_1951-1980.e00
3917172,10,krug_runoff_avg_ann_1951-1980.e00
3917156,10,krug_runoff_avg_ann_1951-1980.e00
3917070,5,krug_runoff_avg_ann_1951-1980.e00
3917072,5,krug_runoff_avg_ann_1951-1980.e00
3917154,10,krug_runoff_avg_ann_1951-1980.e00
3917114,10,krug_runoff_avg_ann_1951-1980.e00
3917082,5,krug_runoff_avg_ann_1951-1980.e00
3917084,5,krug_runoff_avg_ann_1951-1980.e00
3917106,5,krug_runoff_avg_ann_1951-1980.e00
3917194,5,krug_runoff_avg_ann_1951-1980.e00
3917136,5,krug_runoff_avg_ann_1951-1980.e00
3917138,5,krug_runoff_avg_ann_1951-1980.e00
3917914,5,krug_runoff_avg_ann_1951-1980.e00
3917916,5,krug_runoff_avg_ann_1951-1980.e00
3917130,10,krug_runoff_avg_ann_1951-1980.e00
3917162,10,krug_runoff_avg_ann_1951-1980.e00
3917912,10,krug_runoff_avg_ann_1951-1980.e00
3917178,10,krug_runoff_avg_ann_1951-1980.e00
3917176,10,krug_runoff_avg_ann_1951-1980.e00
3917918,10,krug_runoff_avg_ann_1951-1980.e00
3917158,10,krug_runoff_avg_ann_1951-1980.e00
3917160,10,krug_runoff_avg_ann_1951-1980.e00
3917920,10,krug_runoff_avg_ann_1951-1980.e00
3917198,10,krug_runoff_avg_ann_1951-1980.e00
3917200,10,krug_runoff_avg_ann_1951-1980.e00
3917948,10,krug_runoff_avg_ann_1951-1980.e00
3917950,10,krug_runoff_avg_ann_1951-1980.e00
3917244,10,krug_runoff_avg_ann_1951-1980.e00
3917946,10,krug_runoff_avg_ann_1951-1980.e00
