COMID,CAT_MAXP6190,NODATA,ACC_MAXP6190,ACC_NODATA,TOT_MAXP6190,TOT_NODATA,filename
3917070,129.29,0,129.29,0,129.29,0,MAXP6190_CONUS.zip
3917072,130,0,130,0,130,0,MAXP6190_CONUS.zip
3917082,104.31,0,104.31,0,104.31,0,MAXP6190_CONUS.zip
3917084,116.37,0,116.37,0,116.37,0,MAXP6190_CONUS.zip
3917106,96.05,0,107.93,0,107.93,0,MAXP6190_CONUS.zip
3917114,117.1,0,117.1,0,117.1,0,MAXP6190_CONUS.zip
3917130,110.65,0,100.15,0,100.15,0,MAXP6190_CONUS.zip
3917136,89.39,0,89.39,0,89.39,0,MAXP6190_CONUS.zip
3917138,91,0,91,0,91,0,MAXP6190_CONUS.zip
3917154,125.44,0,126.18,0,126.18,0,MAXP6190_CONUS.zip
3917156,103,0,103,0,103,0,MAXP6190_CONUS.zip
3917158,87,0,87,0,87,0,MAXP6190_CONUS.zip
3917160,87.01,0,87.01,0,87.01,0,MAXP6190_CONUS.zip
3917162,109.47,0,101.33,0,101.33,0,MAXP6190_CONUS.zip
3917164,88.86,0,88.86,0,88.86,0,MAXP6190_CONUS.zip
3917172,106.2,0,106.2,0,106.2,0,MAXP6190_CONUS.zip
3917176,102.79,0,104.33,0,104.33,0,MAXP6190_CONUS.zip
3917178,107.02,0,104.26,0,104.26,0,MAXP6190_CONUS.zip
3917194,96.5,0,96.5,0,96.5,0,MAXP6190_CONUS.zip
3917198,82.55,0,101.25,0,101.25,0,MAXP6190_CONUS.zip
3917200,82.01,0,100.03,0,100.03,0,MAXP6190_CONUS.zip
3917212,99.74,0,99.74,0,99.74,0,MAXP6190_CONUS.zip
3917214,90.25,0,90.25,0,90.25,0,MAXP6190_CONUS.zip
3917218,83.22,0,97.21,0,97.21,0,MAXP6190_CONUS.zip
3917220,82,0,96.21,0,96.21,0,MAXP6190_CONUS.zip
3917228,82.7,0,82.7,0,82.7,0,MAXP6190_CONUS.zip
3917230,71.24,0,71.24,0,71.24,0,MAXP6190_CONUS.zip
3917244,73.01,0,107.75,0,114.28,0,MAXP6190_CONUS.zip
3917250,107.19,0,107.19,0,107.19,0,MAXP6190_CONUS.zip
3917256,87.03,0,112.22,0,112.22,0,MAXP6190_CONUS.zip
3917268,83.66,0,111.05,0,111.05,0,MAXP6190_CONUS.zip
3917272,99.91,0,117.74,0,117.74,0,MAXP6190_CONUS.zip
3917274,90.44,0,90.44,0,90.44,0,MAXP6190_CONUS.zip
3917276,107.43,0,122.24,0,122.24,0,MAXP6190_CONUS.zip
3917278,95.04,0,117.11,0,117.11,0,MAXP6190_CONUS.zip
3917280,83.86,0,108.04,0,108.04,0,MAXP6190_CONUS.zip
3917282,89.13,0,112.95,0,112.95,0,MAXP6190_CONUS.zip
3917284,83.7,0,110.26,0,110.26,0,MAXP6190_CONUS.zip
3917286,81.27,0,81.27,0,81.27,0,MAXP6190_CONUS.zip
3917912,111.02,0,104.13,0,104.13,0,MAXP6190_CONUS.zip
3917914,79.74,0,81.24,0,81.24,0,MAXP6190_CONUS.zip
3917916,100.21,0,92.68,0,92.68,0,MAXP6190_CONUS.zip
3917918,93.17,0,102.33,0,102.33,0,MAXP6190_CONUS.zip
3917920,83.5,0,86.13,0,86.13,0,MAXP6190_CONUS.zip
3917922,82.45,0,82.45,0,82.45,0,MAXP6190_CONUS.zip
3917946,72.58,0,106.96,0,113.6,0,MAXP6190_CONUS.zip
3917948,80.41,0,99.66,0,99.66,0,MAXP6190_CONUS.zip
3917950,75.3,0,108.37,0,114.81,0,MAXP6190_CONUS.zip
3917956,126.39,0,126.39,0,126.39,0,MAXP6190_CONUS.zip
3917958,129.78,0,129.78,0,129.78,0,MAXP6190_CONUS.zip
3917960,126.67,0,126.67,0,126.67,0,MAXP6190_CONUS.zip
948010089,82.14,0,82.42,0,82.42,0,MAXP6190_CONUS.zip
