COMID,CAT_MINWD6190,NODATA,ACC_MINWD6190,ACC_NODATA,TOT_MINWD6190,TOT_NODATA,filename
3917070,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917072,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917082,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917084,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917100,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917106,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917114,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917130,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917136,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917138,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917154,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917156,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917158,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917160,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917162,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917164,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917172,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917176,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917178,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917194,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917198,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917200,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917222,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917230,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917244,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917266,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917912,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917914,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917916,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917918,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917920,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917922,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917924,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917926,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917946,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917948,2,0,2,0,2,0,MINWD6190_CONUS.zip
3917950,2,0,2,0,2,0,MINWD6190_CONUS.zip
948010046,2,0,2,0,2,0,MINWD6190_CONUS.zip
948010047,2,0,2,0,2,0,MINWD6190_CONUS.zip
948010048,2,0,2,0,2,0,MINWD6190_CONUS.zip
948010089,2,0,2,0,2,0,MINWD6190_CONUS.zip
948010091,2,0,2,0,2,0,MINWD6190_CONUS.zip
948010092,2,0,2,0,2,0,MINWD6190_CONUS.zip
948010095,2,0,2,0,2,0,MINWD6190_CONUS.zip
948010096,2,0,2,0,2,0,MINWD6190_CONUS.zip
