COMID,CAT_PPT_JAN1990,CAT_PPT_FEB1990,CAT_PPT_MAR1990,CAT_PPT_APR1990,CAT_PPT_MAY1990,CAT_PPT_JUN1990,CAT_PPT_JUL1990,CAT_PPT_AUG1990,CAT_PPT_SEP1990,CAT_PPT_OCT1990,CAT_PPT_NOV1990,CAT_PPT_DEC1990,filename
3917070,146.92,62.6,89.72,56.44,134.8,8.79,36.19,42.78,34.19,27.01,70.58,37.44,PPT1990_CAT_CONUS.zip
3917072,145.91,59.66,84.01,54.52,134.8,8.88,32.99,43.66,32.82,26.06,67.15,35.93,PPT1990_CAT_CONUS.zip
3917082,160.09,54.07,99.03,50.88,161.87,7.56,30.56,50.17,45.45,27.08,61.55,30.37,PPT1990_CAT_CONUS.zip
3917084,150.88,59,103,53.26,145.61,7.66,33.64,46.92,37.49,28.74,66.75,33.81,PPT1990_CAT_CONUS.zip
3917106,157.09,51.73,87.3,49.06,155.77,7.79,28.08,47.05,41.82,25.57,58.7,28.8,PPT1990_CAT_CONUS.zip
3917114,143.23,55.72,77.98,49.28,124.08,7.68,30.97,37.52,28.29,28.37,59.07,33.68,PPT1990_CAT_CONUS.zip
3917130,149.17,52.55,67.15,48.26,136.66,8.35,24.3,36.7,30.1,24.9,58.09,29.85,PPT1990_CAT_CONUS.zip
3917136,151.09,46.18,72.56,45.1,147.73,7.92,25.48,45.88,37.23,22.27,52.7,24.68,PPT1990_CAT_CONUS.zip
3917138,140.22,41.42,51.16,40.92,129.2,8.38,22.41,41.2,26.82,18.67,46.92,21.23,PPT1990_CAT_CONUS.zip
3917154,144.89,58.2,82.1,52.52,130.71,8.39,32.27,41.31,31.08,27.01,64.11,35.07,PPT1990_CAT_CONUS.zip
3917156,143.85,52.64,63,47.93,119.72,8.11,28.67,34.46,27.26,26.67,54.77,33.4,PPT1990_CAT_CONUS.zip
3917158,120.97,25.29,33.98,24.06,95.59,7.43,13.45,12.69,16.26,22.6,29.52,20.25,PPT1990_CAT_CONUS.zip
3917160,131.35,27.49,35.98,25.07,92.97,8.3,15.96,12.72,17.46,21.62,36.33,25.33,PPT1990_CAT_CONUS.zip
3917162,148.71,50.82,54.06,45.5,130.6,8.35,22.66,32.57,27.16,24.76,52.96,29.52,PPT1990_CAT_CONUS.zip
3917164,147.71,36.76,59.06,41.88,110.43,7.87,18.36,23.38,21.02,24.25,42.51,31.35,PPT1990_CAT_CONUS.zip
3917172,146.48,47.1,70.36,47.89,121.59,8.27,24.87,32.61,26.27,25.22,53.39,33.09,PPT1990_CAT_CONUS.zip
3917176,153.39,49.52,63.18,41.1,135.81,9.56,17,28.4,19.48,24.35,48.15,27.73,PPT1990_CAT_CONUS.zip
3917178,149.15,51.74,56.93,43.77,128.11,8.4,22.4,29.88,22.47,25.79,51.01,30.99,PPT1990_CAT_CONUS.zip
3917194,162.75,53.37,70.67,48.73,171.53,8.78,17.18,39.55,25.46,19.78,58.71,29.32,PPT1990_CAT_CONUS.zip
3917198,117.18,24.19,30.3,21.48,95.07,7.61,13.06,12.17,15.68,21.74,27.52,18.93,PPT1990_CAT_CONUS.zip
3917200,103.39,22.2,25.49,18.46,94.43,7.41,11.63,11.35,14.93,19.09,25.43,16.39,PPT1990_CAT_CONUS.zip
3917230,87.87,16.82,15.27,12.2,71.82,7.72,10.73,8.57,14.8,18.38,19.52,14.19,PPT1990_CAT_CONUS.zip
3917244,88.4,16.77,17.31,13.15,77.08,7.76,9.9,9.07,14.83,18.76,20.34,14.19,PPT1990_CAT_CONUS.zip
3917912,141.8,51.44,55.51,45.54,115.89,7.91,27.76,32.12,25.71,26.94,51.53,32.11,PPT1990_CAT_CONUS.zip
3917914,137.89,36.03,48.75,41.37,136.94,6.25,16.76,37.24,30.78,18.75,45.43,18.28,PPT1990_CAT_CONUS.zip
3917916,150.53,49.18,58.33,44.83,142.44,8.79,21.16,38.99,27.68,20.85,53.98,25.77,PPT1990_CAT_CONUS.zip
3917918,135.25,34.88,48.01,32.35,113.64,8.28,14.7,19.88,17.78,23.26,37.94,23.35,PPT1990_CAT_CONUS.zip
3917920,120.77,25.04,33.54,23.7,95.01,7.48,13.37,12.59,16.22,22.58,29.25,20.1,PPT1990_CAT_CONUS.zip
3917946,90.91,23.36,17.41,13.78,69.83,7.1,15.77,9.47,14.76,16.66,21.78,14.22,PPT1990_CAT_CONUS.zip
3917948,100.47,21.28,24.53,17.71,92.22,7.46,11.12,11.04,14.9,18.7,24.98,15.83,PPT1990_CAT_CONUS.zip
3917950,95.65,18.52,20.96,15.37,86.71,7.71,10.35,10.1,14.91,18.76,22.04,14.65,PPT1990_CAT_CONUS.zip
