COMID,CAT_PPT7100_ANN,CAT_NODATA,ACC_PPT7100_ANN,ACC_NODATA,TOT_PPT7100_ANN,TOT_NODATA,filename
3917070,734.63,0,734.63,0,734.63,0,PPT7100_ANN_CONUS.zip
3917072,698.86,0,698.86,0,698.86,0,PPT7100_ANN_CONUS.zip
3917082,659.49,0,659.49,0,659.49,0,PPT7100_ANN_CONUS.zip
3917084,688.26,0,688.26,0,688.26,0,PPT7100_ANN_CONUS.zip
3917106,638.38,0,667.6,0,667.6,0,PPT7100_ANN_CONUS.zip
3917114,615.53,0,615.53,0,615.53,0,PPT7100_ANN_CONUS.zip
3917130,623.47,0,620.59,0,620.59,0,PPT7100_ANN_CONUS.zip
3917136,650.56,0,650.56,0,650.56,0,PPT7100_ANN_CONUS.zip
3917138,622.54,0,622.54,0,622.54,0,PPT7100_ANN_CONUS.zip
3917154,656.93,0,671.33,0,671.33,0,PPT7100_ANN_CONUS.zip
3917156,593.5,0,593.5,0,593.5,0,PPT7100_ANN_CONUS.zip
3917158,634.52,0,634.52,0,634.52,0,PPT7100_ANN_CONUS.zip
3917160,633.69,0,633.69,0,633.69,0,PPT7100_ANN_CONUS.zip
3917162,615.88,0,620.08,0,620.08,0,PPT7100_ANN_CONUS.zip
3917164,622.98,0,622.98,0,622.98,0,PPT7100_ANN_CONUS.zip
3917172,646.65,0,646.65,0,646.65,0,PPT7100_ANN_CONUS.zip
3917176,604.4,0,623.13,0,623.13,0,PPT7100_ANN_CONUS.zip
3917178,607.38,0,622.19,0,622.19,0,PPT7100_ANN_CONUS.zip
3917194,581.67,0,581.67,0,581.67,0,PPT7100_ANN_CONUS.zip
3917198,536.77,0,620.47,0,620.47,0,PPT7100_ANN_CONUS.zip
3917200,528.6,0,616.56,0,616.56,0,PPT7100_ANN_CONUS.zip
3917212,580.76,0,580.76,0,580.76,0,PPT7100_ANN_CONUS.zip
3917214,591.63,0,591.63,0,591.63,0,PPT7100_ANN_CONUS.zip
3917218,558.91,0,579.65,0,579.65,0,PPT7100_ANN_CONUS.zip
3917220,526.53,0,577.98,0,577.98,0,PPT7100_ANN_CONUS.zip
3917228,555.61,0,555.61,0,555.61,0,PPT7100_ANN_CONUS.zip
3917230,431.09,0,431.09,0,431.09,0,PPT7100_ANN_CONUS.zip
3917244,431.55,0,676.84,0,757.86,0,PPT7100_ANN_CONUS.zip
3917250,572.74,0,572.74,0,572.74,0,PPT7100_ANN_CONUS.zip
3917256,582.91,0,578.54,0,578.54,0,PPT7100_ANN_CONUS.zip
3917268,559.87,0,577.78,0,577.78,0,PPT7100_ANN_CONUS.zip
3917272,560.16,0,580.84,0,580.84,0,PPT7100_ANN_CONUS.zip
3917274,594.55,0,594.55,0,594.55,0,PPT7100_ANN_CONUS.zip
3917276,535.52,0,545.07,0,545.07,0,PPT7100_ANN_CONUS.zip
3917278,571.13,0,549.98,0,549.98,0,PPT7100_ANN_CONUS.zip
3917280,571.26,0,559.42,0,559.42,0,PPT7100_ANN_CONUS.zip
3917282,588.25,0,555.77,0,555.77,0,PPT7100_ANN_CONUS.zip
3917284,587.51,0,558.69,0,558.69,0,PPT7100_ANN_CONUS.zip
3917286,558.06,0,558.06,0,558.06,0,PPT7100_ANN_CONUS.zip
3917912,606.52,0,624.02,0,624.02,0,PPT7100_ANN_CONUS.zip
3917914,586.96,0,596.5,0,596.5,0,PPT7100_ANN_CONUS.zip
3917916,594.65,0,589.07,0,589.07,0,PPT7100_ANN_CONUS.zip
3917918,599.76,0,621,0,621,0,PPT7100_ANN_CONUS.zip
3917920,559.81,0,615.35,0,615.35,0,PPT7100_ANN_CONUS.zip
3917922,564.31,0,564.31,0,564.31,0,PPT7100_ANN_CONUS.zip
3917946,467.94,0,672.05,0,753.04,0,PPT7100_ANN_CONUS.zip
3917948,495.21,0,614.27,0,614.27,0,PPT7100_ANN_CONUS.zip
3917950,445.2,0,681.23,0,762.07,0,PPT7100_ANN_CONUS.zip
3917956,590.86,0,590.86,0,590.86,0,PPT7100_ANN_CONUS.zip
3917958,534.64,0,534.64,0,534.64,0,PPT7100_ANN_CONUS.zip
3917960,557.16,0,557.16,0,557.16,0,PPT7100_ANN_CONUS.zip
948010089,520.06,0,560.36,0,560.36,0,PPT7100_ANN_CONUS.zip
