COMID,CAT_RH,NODATA,ACC_RH,ACC_NODATA,TOT_RH,TOT_NODATA,filename
3917070,66.28,0,66.28,0,66.28,0,RH_CONUS.zip
3917072,65,0,65,0,65,0,RH_CONUS.zip
3917082,63.44,0,63.44,0,63.44,0,RH_CONUS.zip
3917084,65.1,0,65.1,0,65.1,0,RH_CONUS.zip
3917106,63.54,0,64.41,0,64.41,0,RH_CONUS.zip
3917114,65,0,65,0,65,0,RH_CONUS.zip
3917130,64.99,0,63.89,0,63.89,0,RH_CONUS.zip
3917136,62.49,0,62.49,0,62.49,0,RH_CONUS.zip
3917138,63,0,63,0,63,0,RH_CONUS.zip
3917154,65.22,0,65.41,0,65.41,0,RH_CONUS.zip
3917156,65,0,65,0,65,0,RH_CONUS.zip
3917158,65,0,65,0,65,0,RH_CONUS.zip
3917160,65,0,65,0,65,0,RH_CONUS.zip
3917162,65,0,64.01,0,64.01,0,RH_CONUS.zip
3917164,65,0,65,0,65,0,RH_CONUS.zip
3917172,65.01,0,65.01,0,65.01,0,RH_CONUS.zip
3917176,65,0,64.34,0,64.34,0,RH_CONUS.zip
3917178,65,0,64.26,0,64.26,0,RH_CONUS.zip
3917194,64.09,0,64.09,0,64.09,0,RH_CONUS.zip
3917198,65,0,64.48,0,64.48,0,RH_CONUS.zip
3917200,65,0,64.5,0,64.5,0,RH_CONUS.zip
3917212,65,0,65,0,65,0,RH_CONUS.zip
3917214,65,0,65,0,65,0,RH_CONUS.zip
3917218,65,0,65,0,65,0,RH_CONUS.zip
3917220,65,0,65,0,65,0,RH_CONUS.zip
3917228,65,0,65,0,65,0,RH_CONUS.zip
3917230,64.76,0,64.76,0,64.76,0,RH_CONUS.zip
3917244,64.72,0,64.63,0,64.72,0,RH_CONUS.zip
3917250,65,0,65,0,65,0,RH_CONUS.zip
3917256,65,0,64.73,0,64.73,0,RH_CONUS.zip
3917268,65,0,64.74,0,64.74,0,RH_CONUS.zip
3917272,65,0,64.56,0,64.56,0,RH_CONUS.zip
3917274,65,0,65,0,65,0,RH_CONUS.zip
3917276,64.88,0,63.98,0,63.98,0,RH_CONUS.zip
3917278,65,0,64.17,0,64.17,0,RH_CONUS.zip
3917280,65,0,64.4,0,64.4,0,RH_CONUS.zip
3917282,65,0,64.29,0,64.29,0,RH_CONUS.zip
3917284,64.93,0,64.35,0,64.35,0,RH_CONUS.zip
3917286,64.86,0,64.86,0,64.86,0,RH_CONUS.zip
3917912,65,0,64.19,0,64.19,0,RH_CONUS.zip
3917914,61.24,0,61.44,0,61.44,0,RH_CONUS.zip
3917916,64.16,0,63.3,0,63.3,0,RH_CONUS.zip
3917918,65,0,64.44,0,64.44,0,RH_CONUS.zip
3917920,65,0,65,0,65,0,RH_CONUS.zip
3917922,64.8,0,64.8,0,64.8,0,RH_CONUS.zip
3917946,64.21,0,64.62,0,64.72,0,RH_CONUS.zip
3917948,64.23,0,64.49,0,64.49,0,RH_CONUS.zip
3917950,64.03,0,64.63,0,64.72,0,RH_CONUS.zip
3917956,64.35,0,64.35,0,64.35,0,RH_CONUS.zip
3917958,63.71,0,63.71,0,63.71,0,RH_CONUS.zip
3917960,63.59,0,63.59,0,63.59,0,RH_CONUS.zip
948010089,64.76,0,64.8,0,64.8,0,RH_CONUS.zip
