COMID,CAT_RUN_JAN1988,CAT_RUN_FEB1988,CAT_RUN_MAR1988,CAT_RUN_APR1988,CAT_RUN_MAY1988,CAT_RUN_JUN1988,CAT_RUN_JUL1988,CAT_RUN_AUG1988,CAT_RUN_SEP1988,CAT_RUN_OCT1988,CAT_RUN_NOV1988,CAT_RUN_DEC1988,filename
3917070,36.31,54.57,31.42,25.59,33.38,17.53,7.2,4.21,2.03,0.99,43.1,37.95,RUN1988_CAT_CONUS.zip
3917072,36.56,51.69,26.64,22.05,30.21,15.9,6.43,3.81,1.83,0.9,45.77,39.5,RUN1988_CAT_CONUS.zip
3917082,30.98,69.88,39.97,32.36,32.71,16.87,7.16,4.09,1.86,0.91,22.63,26.83,RUN1988_CAT_CONUS.zip
3917084,36.61,70.8,46.47,37.17,35.82,18.53,7.93,4.46,2.19,1.03,36.24,32.82,RUN1988_CAT_CONUS.zip
3917106,31.59,66.2,36.64,28.28,26.88,14.11,5.81,3.35,1.55,0.75,23.43,27.31,RUN1988_CAT_CONUS.zip
3917114,32.95,53.29,34.14,25.56,23.51,12.7,4.96,2.92,1.47,0.68,29.24,29.32,RUN1988_CAT_CONUS.zip
3917130,33.19,57.86,34,23.99,17.52,9.84,3.63,2.1,1.13,0.52,26.6,28.37,RUN1988_CAT_CONUS.zip
3917136,34.94,62.85,32.82,22.66,19.61,10.58,4.14,2.49,1.14,0.53,29.63,30.58,RUN1988_CAT_CONUS.zip
3917138,40.4,57.68,29.16,16.05,9.36,5.72,1.8,1.23,0.64,0.25,41.12,36.4,RUN1988_CAT_CONUS.zip
3917154,35.23,52.67,29.96,23.73,27.78,14.74,5.9,3.48,1.7,0.82,39.39,35.53,RUN1988_CAT_CONUS.zip
3917156,29.32,40.18,20.71,14.57,17.04,9.58,3.32,2.13,1.01,0.5,25.66,28.66,RUN1988_CAT_CONUS.zip
3917158,22.53,10.62,5.75,3.77,3.88,3.27,0.36,0.35,0.18,0.17,4.36,0.88,RUN1988_CAT_CONUS.zip
3917160,24.06,12.29,6.65,4.21,4.53,3.52,0.41,0.4,0.21,0.18,4.51,0.95,RUN1988_CAT_CONUS.zip
3917162,28.96,47.27,27.59,18.06,11.12,6.82,2.07,1.32,0.69,0.35,15.99,23.17,RUN1988_CAT_CONUS.zip
3917164,25.39,24.76,13.16,7.81,11.59,6.87,2.01,1.35,0.63,0.34,22.16,22.26,RUN1988_CAT_CONUS.zip
3917172,30.3,36.41,19.22,14.15,19.42,10.7,3.88,2.39,1.14,0.57,31.37,29.84,RUN1988_CAT_CONUS.zip
3917176,28.6,34.63,29.23,22.28,13.62,8.24,2.73,1.61,0.78,0.49,8.03,19.24,RUN1988_CAT_CONUS.zip
3917178,26.98,37.71,28.88,19.96,12.62,7.68,2.42,1.54,0.73,0.44,8.33,18.16,RUN1988_CAT_CONUS.zip
3917194,38.64,69.93,48.32,33.25,18.63,10.45,4.07,2.38,1.08,0.73,24.43,28.74,RUN1988_CAT_CONUS.zip
3917198,19.1,8.88,4.85,3.35,3.49,3.12,0.31,0.32,0.16,0.16,4.26,0.91,RUN1988_CAT_CONUS.zip
3917200,9.48,4.08,2.38,2.42,2.49,2.67,0.15,0.25,0.1,0.13,4.01,0.85,RUN1988_CAT_CONUS.zip
3917230,2.36,0.53,0.45,0.92,1.76,2.45,0.06,0.15,0.05,0.14,4.43,0.75,RUN1988_CAT_CONUS.zip
3917244,1.47,0.06,0.26,0.89,1.73,2.45,0.04,0.15,0.05,0.13,4.27,0.73,RUN1988_CAT_CONUS.zip
3917912,27.34,37.12,19.63,12.99,12.71,7.54,2.32,1.58,0.75,0.37,17.58,24.3,RUN1988_CAT_CONUS.zip
3917914,40.09,49.43,25.04,14.29,8.66,5.29,1.67,1.22,0.48,0.21,35.35,30.67,RUN1988_CAT_CONUS.zip
3917916,36.62,59.45,36.74,23.6,13.66,7.98,2.81,1.69,0.88,0.44,29.88,30.2,RUN1988_CAT_CONUS.zip
3917918,25.85,19.85,14.75,10.88,7.52,5.17,1.26,0.82,0.41,0.28,6.58,9.98,RUN1988_CAT_CONUS.zip
3917920,22.18,10.44,5.65,3.71,3.84,3.26,0.35,0.34,0.17,0.17,4.34,0.88,RUN1988_CAT_CONUS.zip
3917946,6.1,2.36,1.4,1.68,2.03,2.48,0.1,0.16,0.05,0.15,4.7,0.79,RUN1988_CAT_CONUS.zip
3917948,7.13,2.91,1.78,2.16,2.28,2.58,0.12,0.22,0.09,0.13,3.93,0.82,RUN1988_CAT_CONUS.zip
3917950,3.29,0.99,0.77,1.42,1.96,2.5,0.07,0.17,0.06,0.13,3.97,0.79,RUN1988_CAT_CONUS.zip
