COMID,CAT_HGA,CAT_HGAC,CAT_HGAD,CAT_HGB,CAT_HGBC,CAT_HGBD,CAT_HGC,CAT_HGCD,CAT_HGD,CAT_HGVAR,NODATA,filename
3917070,43.67,0,0,41.82,0,0,9.67,0,4.84,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917072,7,0,0,69,0,0,17,0,7,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917082,92,0,0,6,0,0,0,0,2,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917084,78.57,0,0,6.83,0,0,3.05,0,11.55,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917106,68.07,0,0,23.74,0,0,4.79,0,3.41,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917114,7,0,0,69,0,0,17,0,7,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917130,11.59,0,0,65.6,0,0,16.08,0,6.73,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917136,64.32,0,0,26.51,0,0,5.54,0,3.63,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917138,15.37,0,0,62.8,0,0,15.33,0,6.51,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917154,16.3,0,0,62.11,0,0,15.14,0,6.45,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917156,6.7,0,0,66.11,0,0,17.81,0,9.38,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917158,0,0,0,1,0,0,36,0,63,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917160,0,0,0,1,0,0,36,0,63,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917162,10.22,0,0,65.78,0,0,16.06,0,7.94,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917164,0,0,0,1,0,0,36,0,63,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917172,7.27,0,0,40.13,0,0,23.84,0,28.76,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917176,37.34,0,0,34.02,0,0,9.16,0,19.48,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917178,49.31,0,0,25.1,0,0,4.96,0,20.64,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917194,7,0,0,69,0,0,17,0,7,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917198,0,0,0,1,0,0,36,0,63,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917200,0,0,0,1,0,0,36,0,63,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917212,23.93,0,0,50.8,0,0,12.32,0,12.94,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917214,4.29,0,0,42.69,0,0,24.35,0,28.66,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917218,0.13,0,0,2.25,0,0,35.65,0,61.97,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917220,0,0,0,1,0,0,36,0,63,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917228,0,0,0,1.64,0,0,44.59,0,53.78,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917230,0,0,0,2.01,0,0,49.16,0,48.83,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917244,0,0,0,1.2,0,0,37.82,0,60.98,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917250,26.7,0,0,40.52,0,0,13.21,0,19.57,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917256,0,0,0,1,0,0,36,0,63,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917268,0,0,0,1.36,0,0,40.87,0,57.77,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917272,11.66,0,0,42.18,0,0,20.64,0,25.52,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917274,0,0,0,1,0,0,36,0,63,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917276,4.37,0,0,43.41,0,0,24.15,0,28.08,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917278,0.2,0,0,2.96,0,0,35.45,0,61.39,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917280,0,0,0,1.73,0,0,45.81,0,52.47,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917282,0,0,0,1,0,0,36.03,0,62.96,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917284,0,0,0,1.37,0,0,40.94,0,57.69,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917286,0,0,0,2.36,0,0,54.41,0,43.23,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917912,35.38,0,0,40.62,0,0,8.68,0,15.32,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917914,17.06,0,0,61.54,0,0,14.99,0,6.41,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917916,9.16,0,0,67.4,0,0,16.57,0,6.87,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917918,16.92,0,0,29.66,0,0,20.74,0,32.67,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917920,0,0,0,1,0,0,36,0,63,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917922,0,0,0,1.12,0,0,37.64,0,61.23,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917946,0,0,0,1.34,0,0,39.64,0,59.02,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917948,0,0,0,1.53,0,0,42.44,0,56.03,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917950,0,0,0,0.31,0,0,25.38,0,74.31,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917956,25.35,0,0,50.65,0,0,11.62,0,12.38,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917958,7,0,0,69,0,0,17,0,7,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
3917960,7,0,0,69,0,0,17,0,7,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
948010089,0,0,0,2.65,0,0,58.32,0,39.02,0,0,STATSGO_HYDGRP_CAT_CONUS.zip
