COMID,TOT_KFACT,TOT_KFACT_UP,TOT_NO10AVE,TOT_NO200AVE,TOT_NO4AVE,TOT_OM,TOT_PERMAVE,TOT_RFACT,TOT_ROCKDEP,TOT_BDAVE,TOT_AWCAVE,TOT_WTDEP,TOT_NODATA,filename
3917070,0.26,0.16,64.15,29.71,69.77,0.77,6.04,330,54.32,1.23,0.08,5.98,0,STATSGO_LAYER_TOT_CONUS.zip
3917072,0.3,0.19,64.93,40.8,70.22,1.07,1.91,330,50.32,1.24,0.1,6,0,STATSGO_LAYER_TOT_CONUS.zip
3917082,0.17,0.13,63.13,15.08,69.16,0.39,11.49,235,59.6,1.21,0.06,5.95,0,STATSGO_LAYER_TOT_CONUS.zip
3917084,0.2,0.14,64.35,20.07,70.11,0.59,10.03,273.69,57.31,1.24,0.07,5.74,0,STATSGO_LAYER_TOT_CONUS.zip
3917106,0.2,0.14,64.01,20.65,69.81,0.58,9.64,264.83,57.31,1.23,0.07,5.84,0,STATSGO_LAYER_TOT_CONUS.zip
3917114,0.3,0.19,64.93,40.8,70.22,1.07,1.91,312,50.32,1.24,0.1,6,0,STATSGO_LAYER_TOT_CONUS.zip
3917130,0.26,0.17,64.53,32.7,70.04,0.87,5,275.44,53.15,1.23,0.09,5.94,0,STATSGO_LAYER_TOT_CONUS.zip
3917136,0.22,0.15,63.71,23.46,69.51,0.61,8.37,230.77,56.58,1.22,0.07,5.97,0,STATSGO_LAYER_TOT_CONUS.zip
3917138,0.3,0.18,64.76,38.27,70.12,1,2.85,221.61,51.24,1.23,0.1,6,0,STATSGO_LAYER_TOT_CONUS.zip
3917154,0.29,0.18,64.64,36.52,70.05,0.95,3.5,322.13,51.87,1.23,0.1,5.99,0,STATSGO_LAYER_TOT_CONUS.zip
3917156,0.3,0.19,65.71,41.85,71,1.11,1.85,312.27,49.38,1.24,0.1,5.95,0,STATSGO_LAYER_TOT_CONUS.zip
3917158,0.3,0.19,83.19,65.45,88.52,2.02,0.54,237.81,28.11,1.35,0.14,4.75,0,STATSGO_LAYER_TOT_CONUS.zip
3917160,0.3,0.19,83.19,65.45,88.52,2.02,0.54,226.4,28.11,1.35,0.14,4.75,0,STATSGO_LAYER_TOT_CONUS.zip
3917162,0.27,0.17,64.34,33.4,69.81,0.9,4.69,280.4,52.84,1.23,0.09,5.95,0,STATSGO_LAYER_TOT_CONUS.zip
3917164,0.3,0.19,83.19,65.45,88.52,2.02,0.54,270.39,28.11,1.35,0.14,4.75,0,STATSGO_LAYER_TOT_CONUS.zip
3917172,0.3,0.18,72.02,49.55,77.36,1.42,1.71,313.21,41.95,1.28,0.12,5.51,0,STATSGO_LAYER_TOT_CONUS.zip
3917176,0.27,0.17,60.96,33.16,66.34,1.09,4.19,294.25,51.46,1.21,0.11,5.92,0,STATSGO_LAYER_TOT_CONUS.zip
3917178,0.27,0.17,61.1,32.37,66.5,1.03,4.4,291.35,52.3,1.21,0.1,5.95,0,STATSGO_LAYER_TOT_CONUS.zip
3917194,0.3,0.19,64.93,40.8,70.22,1.07,1.91,311.53,50.32,1.24,0.1,6,0,STATSGO_LAYER_TOT_CONUS.zip
3917198,0.28,0.18,63.76,38.04,69.11,1.26,3.55,285.33,47.66,1.23,0.11,5.74,0,STATSGO_LAYER_TOT_CONUS.zip
3917200,0.28,0.18,64.95,39.71,70.3,1.3,3.35,278.5,46.63,1.24,0.12,5.68,0,STATSGO_LAYER_TOT_CONUS.zip
3917212,0.29,0.18,50.12,30.7,55.2,1.53,2.77,298.03,49.65,1.15,0.14,5.96,0,STATSGO_LAYER_TOT_CONUS.zip
3917214,0.3,0.19,72,50.34,77.3,1.44,1.38,266.65,41.73,1.28,0.12,5.52,0,STATSGO_LAYER_TOT_CONUS.zip
3917218,0.29,0.18,55.43,35.95,60.55,1.57,2.42,283.13,46.81,1.18,0.14,5.8,0,STATSGO_LAYER_TOT_CONUS.zip
3917220,0.3,0.18,57.16,37.7,62.29,1.57,2.29,276.03,46.14,1.19,0.14,5.76,0,STATSGO_LAYER_TOT_CONUS.zip
3917228,0.31,0.21,80.56,61.35,85.85,1.59,0.48,180,37.07,1.32,0.14,5.15,0,STATSGO_LAYER_TOT_CONUS.zip
3917230,0.35,0.34,80.35,55.46,85.04,0.61,0.88,115.14,57.51,1.34,0.14,4.63,0,STATSGO_LAYER_TOT_CONUS.zip
3917244,0.27,0.19,66.12,37.55,72.17,1.24,4.68,428.77,47.46,1.2,0.13,5.61,0.4,STATSGO_LAYER_TOT_CONUS.zip
3917250,0.29,0.18,48.87,31.03,53.91,1.72,2.81,309.43,47.36,1.14,0.16,5.83,0,STATSGO_LAYER_TOT_CONUS.zip
3917256,0.29,0.18,54.52,35.61,59.63,1.63,2.46,325.09,46.25,1.17,0.15,5.77,0,STATSGO_LAYER_TOT_CONUS.zip
3917268,0.29,0.18,55.63,36.74,60.75,1.64,2.38,319.15,45.72,1.18,0.15,5.74,0,STATSGO_LAYER_TOT_CONUS.zip
3917272,0.29,0.18,53.79,34.21,58.91,1.54,2.53,350.37,47.92,1.17,0.14,5.86,0,STATSGO_LAYER_TOT_CONUS.zip
3917274,0.3,0.19,83.19,65.45,88.52,2.02,0.54,186.61,28.11,1.35,0.14,4.75,0,STATSGO_LAYER_TOT_CONUS.zip
3917276,0.3,0.19,66.82,43.35,72.11,1.17,1.77,342.87,48.03,1.25,0.11,5.87,0,STATSGO_LAYER_TOT_CONUS.zip
3917278,0.3,0.19,69.81,47.38,75.11,1.32,1.54,327.32,44.39,1.27,0.11,5.67,0,STATSGO_LAYER_TOT_CONUS.zip
3917280,0.3,0.19,73.26,51.96,78.57,1.46,1.24,290.22,41.13,1.29,0.12,5.47,0,STATSGO_LAYER_TOT_CONUS.zip
3917282,0.3,0.19,71.8,50.08,77.11,1.43,1.39,309.38,41.96,1.28,0.12,5.53,0,STATSGO_LAYER_TOT_CONUS.zip
3917284,0.3,0.19,72.71,51.27,78.02,1.46,1.31,299.41,41.16,1.29,0.12,5.48,0,STATSGO_LAYER_TOT_CONUS.zip
3917286,0.32,0.25,77.54,56.67,82.78,1.1,0.41,199.46,47.32,1.29,0.14,5.6,0,STATSGO_LAYER_TOT_CONUS.zip
3917912,0.27,0.17,63.03,33.14,68.46,0.95,4.51,287.13,52.59,1.22,0.1,5.95,0,STATSGO_LAYER_TOT_CONUS.zip
3917914,0.28,0.18,64.57,35.7,70.01,0.94,3.81,213.82,52.17,1.23,0.1,5.99,0,STATSGO_LAYER_TOT_CONUS.zip
3917916,0.29,0.19,64.81,39.1,70.15,1.02,2.54,274.15,50.94,1.24,0.1,6,0,STATSGO_LAYER_TOT_CONUS.zip
3917918,0.28,0.18,62.37,36.09,67.73,1.21,3.76,290.41,49.05,1.22,0.11,5.81,0,STATSGO_LAYER_TOT_CONUS.zip
3917920,0.3,0.19,83.19,65.45,88.52,2.02,0.54,215.22,28.11,1.35,0.14,4.75,0,STATSGO_LAYER_TOT_CONUS.zip
3917922,0.3,0.19,82.69,64.67,88.01,1.94,0.52,180.86,29.82,1.34,0.14,4.83,0,STATSGO_LAYER_TOT_CONUS.zip
3917946,0.27,0.19,66.4,37.87,72.42,1.22,4.62,423.72,47.64,1.2,0.13,5.58,0.39,STATSGO_LAYER_TOT_CONUS.zip
3917948,0.28,0.18,65.29,40.04,70.62,1.29,3.31,276.3,46.82,1.24,0.12,5.65,0,STATSGO_LAYER_TOT_CONUS.zip
3917950,0.27,0.19,65.88,37.28,71.95,1.24,4.72,432.79,47.32,1.2,0.13,5.64,0.4,STATSGO_LAYER_TOT_CONUS.zip
3917956,0.29,0.18,48.66,29.49,53.73,1.55,2.86,383.02,50,1.14,0.15,5.98,0,STATSGO_LAYER_TOT_CONUS.zip
