COMID,CAT_TAV_JAN1999,CAT_TAV_FEB1999,CAT_TAV_MAR1999,CAT_TAV_APR1999,CAT_TAV_MAY1999,CAT_TAV_JUN1999,CAT_TAV_JUL1999,CAT_TAV_AUG1999,CAT_TAV_SEP1999,CAT_TAV_OCT1999,CAT_TAV_NOV1999,CAT_TAV_DEC1999,filename
3917070,-1.5,-0.77,0.21,1.64,5.53,10.37,15.46,14.7,14.02,8.56,2.84,-1.27,TAV1999_CAT_CONUS.zip
3917072,-1.4,-0.65,0.38,1.84,5.78,10.66,15.72,14.96,14.24,8.7,2.99,-1.23,TAV1999_CAT_CONUS.zip
3917082,-1.48,-1.05,-0.3,1.73,5.37,10.46,15.9,14.99,14.17,8.72,2.76,-1.48,TAV1999_CAT_CONUS.zip
3917084,-1.67,-1.17,-0.35,1.37,5.09,10.07,15.45,14.56,13.89,8.44,2.51,-1.62,TAV1999_CAT_CONUS.zip
3917106,-1.38,-0.95,-0.14,1.94,5.56,10.63,16.09,15.16,14.35,8.79,2.88,-1.44,TAV1999_CAT_CONUS.zip
3917114,-1.24,-0.62,0.39,2.09,5.94,10.8,16.08,15.16,14.45,8.8,3.04,-1.26,TAV1999_CAT_CONUS.zip
3917130,-1.34,-0.76,0.22,2.07,5.78,10.66,16.1,15.13,14.49,8.68,2.9,-1.49,TAV1999_CAT_CONUS.zip
3917136,-1.16,-0.81,0.03,2.38,5.95,11.03,16.59,15.59,14.75,9.06,3.19,-1.25,TAV1999_CAT_CONUS.zip
3917138,-0.97,-0.66,0.3,2.78,6.33,11.35,16.99,15.93,15.17,9.23,3.44,-1.15,TAV1999_CAT_CONUS.zip
3917154,-1.34,-0.65,0.37,1.92,5.82,10.7,15.85,15.02,14.31,8.73,2.99,-1.25,TAV1999_CAT_CONUS.zip
3917156,-0.92,-0.2,0.91,2.66,6.58,11.4,16.53,15.67,14.83,9.15,3.53,-0.87,TAV1999_CAT_CONUS.zip
3917158,1.11,1.24,2.91,6.05,10.26,15.14,19.37,19.02,16.73,11.62,6.5,1.58,TAV1999_CAT_CONUS.zip
3917160,0.85,1.04,2.64,5.57,9.73,14.6,18.96,18.63,16.48,11.31,6.1,1.28,TAV1999_CAT_CONUS.zip
3917162,-1,-0.38,0.72,2.67,6.39,11.23,16.61,15.62,14.89,9.01,3.33,-1.17,TAV1999_CAT_CONUS.zip
3917164,0.08,0.64,1.86,4.18,8.29,13.14,17.84,17.25,15.74,10.34,4.95,0.35,TAV1999_CAT_CONUS.zip
3917172,-0.61,0.05,1.16,3.07,7.1,11.96,16.85,16.16,15.04,9.55,4.01,-0.4,TAV1999_CAT_CONUS.zip
3917176,-0.09,0.45,1.76,4.06,7.9,12.76,17.68,16.89,15.62,9.96,4.53,-0.09,TAV1999_CAT_CONUS.zip
3917178,-0.51,0.1,1.36,3.44,7.22,12.02,17.19,16.27,15.31,9.5,3.96,-0.6,TAV1999_CAT_CONUS.zip
3917194,-0.82,-0.56,0.52,3.06,6.42,11.28,17.01,15.89,15.2,9.15,3.46,-1.14,TAV1999_CAT_CONUS.zip
3917198,1.3,1.26,3.29,6.42,10.65,15.57,19.65,19.41,16.93,11.86,6.81,1.8,TAV1999_CAT_CONUS.zip
3917200,1.66,1.4,3.86,6.96,11.23,16.15,20.04,19.96,17.28,12.21,7.22,2.17,TAV1999_CAT_CONUS.zip
3917230,1.86,1.5,4.58,7.61,12.21,16.88,20.86,20.69,17.87,12.74,7.71,2.22,TAV1999_CAT_CONUS.zip
3917244,1.96,1.59,4.58,7.6,12.13,16.86,20.74,20.71,17.93,12.79,7.69,2.34,TAV1999_CAT_CONUS.zip
3917912,-0.82,-0.12,1.04,2.86,6.74,11.55,16.73,15.81,14.98,9.22,3.61,-0.84,TAV1999_CAT_CONUS.zip
3917914,-0.57,-0.45,0.58,3.41,6.93,12.17,17.83,16.67,15.49,9.78,3.99,-0.66,TAV1999_CAT_CONUS.zip
3917916,-1.07,-0.65,0.38,2.63,6.16,11.1,16.68,15.64,14.95,9,3.24,-1.3,TAV1999_CAT_CONUS.zip
3917918,0.53,0.89,2.35,5.06,9.12,14.01,18.55,18,16.19,10.82,5.55,0.78,TAV1999_CAT_CONUS.zip
3917920,1.13,1.23,2.95,6.09,10.31,15.19,19.4,19.07,16.75,11.65,6.54,1.6,TAV1999_CAT_CONUS.zip
3917946,2.02,1.9,5.03,8.14,12.84,17.29,21.3,21.12,18.28,12.97,7.83,2.26,TAV1999_CAT_CONUS.zip
3917948,1.74,1.43,4,7.09,11.38,16.28,20.14,20.11,17.37,12.31,7.34,2.26,TAV1999_CAT_CONUS.zip
3917950,1.92,1.51,4.33,7.35,11.77,16.62,20.42,20.45,17.68,12.58,7.57,2.37,TAV1999_CAT_CONUS.zip
