COMID,CAT_WDANN,NODATA,ACC_WDANN,ACC_NODATA,TOT_WDANN,TOT_NODATA,filename
3917070,90.02,0,90.02,0,90.02,0,WDANN_CONUS.zip
3917072,87,0,87,0,87,0,WDANN_CONUS.zip
3917082,82.01,0,82.01,0,82.01,0,WDANN_CONUS.zip
3917084,85.21,0,85.21,0,85.21,0,WDANN_CONUS.zip
3917106,78.91,0,82.62,0,82.62,0,WDANN_CONUS.zip
3917114,84.71,0,84.71,0,84.71,0,WDANN_CONUS.zip
3917130,82.81,0,79.14,0,79.14,0,WDANN_CONUS.zip
3917136,72.69,0,72.69,0,72.69,0,WDANN_CONUS.zip
3917138,71,0,71,0,71,0,WDANN_CONUS.zip
3917154,86.68,0,87.29,0,87.29,0,WDANN_CONUS.zip
3917156,85.07,0,85.07,0,85.07,0,WDANN_CONUS.zip
3917158,79.67,0,79.67,0,79.67,0,WDANN_CONUS.zip
3917160,79.69,0,79.69,0,79.69,0,WDANN_CONUS.zip
3917162,83.12,0,79.61,0,79.61,0,WDANN_CONUS.zip
3917164,81.77,0,81.77,0,81.77,0,WDANN_CONUS.zip
3917172,85.65,0,85.65,0,85.65,0,WDANN_CONUS.zip
3917176,80.92,0,81.05,0,81.05,0,WDANN_CONUS.zip
3917178,81.69,0,80.71,0,80.71,0,WDANN_CONUS.zip
3917194,78.33,0,78.33,0,78.33,0,WDANN_CONUS.zip
3917198,76.39,0,80.78,0,80.78,0,WDANN_CONUS.zip
3917200,71.79,0,80.45,0,80.45,0,WDANN_CONUS.zip
3917230,65.03,0,65.03,0,65.03,0,WDANN_CONUS.zip
3917244,65.57,0,77.48,0,78.04,0,WDANN_CONUS.zip
3917912,83.36,0,80.51,0,80.51,0,WDANN_CONUS.zip
3917914,71.2,0,71.41,0,71.41,0,WDANN_CONUS.zip
3917916,77.45,0,76.03,0,76.03,0,WDANN_CONUS.zip
3917918,79.04,0,80.91,0,80.91,0,WDANN_CONUS.zip
3917920,77.24,0,79.07,0,79.07,0,WDANN_CONUS.zip
3917946,65.42,0,77.21,0,77.83,0,WDANN_CONUS.zip
3917948,68.98,0,80.24,0,80.24,0,WDANN_CONUS.zip
3917950,65.17,0,77.7,0,78.2,0,WDANN_CONUS.zip
