fname,size,size_mb,url
make_nhdplus_agg11_sas.txt,88031,0.088031,https://www.sciencebase.gov/catalog/file/get/5669a79ee4b08895842a1d47?f=__disk__8d%2Fc1%2F1f%2F8dc11fed00d1037905484b3042803c588c0cd56d
index_master.zip,63871627,63.871627,https://www.sciencebase.gov/catalog/file/get/5669a79ee4b08895842a1d47?f=__disk__7f%2F8f%2F00%2F7f8f007f4355982018beb8d8048594576206fb44
index_upnodes.zip,3369697,3.369697,https://www.sciencebase.gov/catalog/file/get/5669a79ee4b08895842a1d47?f=__disk__b7%2F98%2Ff6%2Fb798f6e1680b86b1c7110484f9681a9c7e532bcd
nhdplusv2_us_sas7bdat.zip,413378918,413.378918,https://www.sciencebase.gov/catalog/file/get/5669a79ee4b08895842a1d47?f=__disk__f4%2Fa9%2Fc6%2Ff4a9c659ccefb4ee64c4d6bf34f744f4c879c208
NHDPlusV2_us_Attributes_LandingPage.xml,19513,0.019513,https://www.sciencebase.gov/catalog/file/get/5669a79ee4b08895842a1d47?f=__disk__3b%2Fef%2F90%2F3bef90fbebe1cba6510051e5ba8642e646202dec
Version_History.txt,3958,0.003958,https://www.sciencebase.gov/catalog/file/get/5669a79ee4b08895842a1d47?f=__disk__ee%2F45%2Fbd%2Fee45bdc5594e3df44fa5863169ca9d107ae194cd
HLR_DOM_CONUS.zip,8671692,8.671692,https://www.sciencebase.gov/catalog/file/get/57867b1be4b0e02680c14ff6?f=__disk__c0%2Fa1%2Fe5%2Fc0a1e5ffa08b465c6ffe954b0cbd8f55ae3a95cd
HLR_TOT_CONUS.zip,27376231,27.376230999999997,https://www.sciencebase.gov/catalog/file/get/57867b1be4b0e02680c14ff6?f=__disk__a8%2F4c%2F22%2Fa84c227f8b879ca5b858bce0a62d1f50300d5ce3
HLR_ACC_CONUS.zip,27145619,27.145619,https://www.sciencebase.gov/catalog/file/get/57867b1be4b0e02680c14ff6?f=__disk__e8%2F33%2F6d%2Fe8336d65e424373ae9ad9978f0f7cac7020a0041
HLR_CAT_CONUS.zip,19942745,19.942745,https://www.sciencebase.gov/catalog/file/get/57867b1be4b0e02680c14ff6?f=__disk__b7%2F3f%2Fd3%2Fb73fd3dd00e1cf43ba8ad66d19d32ca88b01223f
NHDV2_HLR_CONUS.xml,54419,0.054418999999999995,https://www.sciencebase.gov/catalog/file/get/57867b1be4b0e02680c14ff6?f=__disk__e9%2F8b%2Fec%2Fe98becc07c2de2b27396f1baefb29fa233b8f0f7
EVI_AMJ_2012_CONUS.zip,12778193,12.778193,https://www.sciencebase.gov/catalog/file/get/59ce9877e4b05fe04cc05e95?f=__disk__a9%2F8d%2F9e%2Fa98d9e7f871eb57eab2926733b8f135f595a14a3
EVI_JAS_2012_CONUS.zip,12949082,12.949081999999999,https://www.sciencebase.gov/catalog/file/get/59ce9877e4b05fe04cc05e95?f=__disk__54%2Fe4%2Fdf%2F54e4df5f2ee21abcf5302aada4ab82821e546513
EVI_JFM_2012_CONUS.zip,12072864,12.072864,https://www.sciencebase.gov/catalog/file/get/59ce9877e4b05fe04cc05e95?f=__disk__f3%2F35%2F58%2Ff3355872ec1551130b9ee2d940bbfe9e8465dfcb
EVI_OND_2011_CONUS.zip,12208402,12.208402,https://www.sciencebase.gov/catalog/file/get/59ce9877e4b05fe04cc05e95?f=__disk__d7%2F76%2Ff3%2Fd776f3bc2a7614998adabaa3a889fd3b77234721
ECOL3_ACC_CONUS.zip,18380150,18.38015,https://www.sciencebase.gov/catalog/file/get/5785595ce4b0e02680bf2fd8?f=__disk__1d%2Fbb%2Ff1%2F1dbbf1a5993f57ce76f8521874d7dc1d0bd42b6f
ECOL3_TOT_CONUS.zip,18681877,18.681877,https://www.sciencebase.gov/catalog/file/get/5785595ce4b0e02680bf2fd8?f=__disk__b6%2Fbb%2F16%2Fb6bb165e7b2a45f686476495707396678ac22178
